9symml_orig_verify,17,788,10.6486486486486
alu2_orig_verify,74,1936,26.1621621621622
alu4_orig_verify,73,3088,154.4
apex6_orig_verify,20,2820,141
apex7_orig_verify,21,878,146.333333333333
b1_orig_verify,6,46,7.66666666666667
b9_orig_verify,11,402,14.8888888888889
C1355_orig_verify,27,1780,65.9259259259259
C17_orig_verify,4,24,0.75
C1908_orig_verify,32,1660,51.875
C2670_orig_verify,29,2754,65.5714285714286
C3540_orig_verify,42,4524,107.714285714286
C432_orig_verify,43,796,33.1666666666667
C499_orig_verify,24,1780,74.1666666666667
C5315_orig_verify,39,5966,49.3057851239669
C6288_orig_verify,121,10018,82.7933884297521
C7552_orig_verify,25,7078,337.047619047619
C880_orig_verify,21,1462,69.6190476190476
c8_orig_verify,13,680,97.1428571428571
cc_orig_verify,7,224,32
cht_orig_verify,10,644,161
cm138a_orig_verify,4,78,19.5
cm150a_orig_verify,14,164,14.9090909090909
cm151a_orig_verify,11,164,14.9090909090909
cm152a_orig_verify,11,86,7.16666666666667
cm162a_orig_verify,12,174,14.5
cm163a_orig_verify,11,156,39
cm42a_orig_verify,4,88,22
cm82a_orig_verify,7,86,9.55555555555556
cm85a_orig_verify,9,176,19.5555555555556
cmb_orig_verify,15,162,11.5714285714286
comp_orig_verify,14,622,44.4285714285714
cordic_orig_verify,13,242,12.1
count_orig_verify,20,584,29.2
cu_orig_verify,10,182,4.55
dalu_orig_verify,40,5000,125
decod_orig_verify,3,144,9
des_orig_verify,16,16124,1007.75
example2_orig_verify,16,1132,43.5384615384615
f51m_orig_verify,26,700,26.9230769230769
frg1_orig_verify,115,1360,56.6666666666667
frg2_orig_verify,24,4026,167.75
i10_orig_verify,51,8310,1187.14285714286
i1_orig_verify,7,182,26
i2_orig_verify,49,660,41.25
i3_orig_verify,16,448,28
i4_orig_verify,16,796,46.8235294117647
i5_orig_verify,17,782,46
i6_orig_verify,7,1910,238.75
i7_orig_verify,8,2668,333.5
i8_orig_verify,23,4520,188.333333333333
i9_orig_verify,24,2290,95.4166666666667
k2_orig_verify,15,5266,438.833333333333
lal_orig_verify,12,352,29.3333333333333
majority_orig_verify,7,40,2
mux_orig_verify,20,414,20.7
my_adder_orig_verify,49,716,29.8333333333333
pair_orig_verify,24,5758,239.916666666667
parity_orig_verify,9,180,18
pcle_orig_verify,10,240,24
pcler8_orig_verify,13,336,48
pm1_orig_verify,7,166,23.7142857142857
rot_orig_verify,25,2836,709
sct_orig_verify,4,400,100
t481_orig_verify,4,3828,957
tcon_orig_verify,4,162,40.5
term1_orig_verify,4,1150,71.875
too_large_orig_verify,16,14526,907.875
ttt2_orig_verify,4,1062,212.4
unreg_orig_verify,5,456,91.2
vda_orig_verify,60,2690,26.9
x1_orig_verify,100,2694,26.94
x2_orig_verify,10,168,14
x3_orig_verify,12,3034,252.833333333333
x4_orig_verify,9,1440,160
z4ml_orig_verify,9,524,58.2222222222222
