File,Total number of dff
/home/yilmaz/zzz/mapped/s1196_sane_mapped.v,18
/home/yilmaz/zzz/mapped/s13207_mapped.v,638
/home/yilmaz/zzz/mapped/s1423_sane_mapped.v,74
/home/yilmaz/zzz/mapped/s1488_sane_mapped.v,6
/home/yilmaz/zzz/mapped/s1494_sane_mapped.v,6
/home/yilmaz/zzz/mapped/s15850_mapped.v,534
/home/yilmaz/zzz/mapped/s208_mapped.v,8
/home/yilmaz/zzz/mapped/s27_sane_mapped.v,3
/home/yilmaz/zzz/mapped/s298_sane_mapped.v,14
/home/yilmaz/zzz/mapped/s344_sane_mapped.v,15
/home/yilmaz/zzz/mapped/s349_sane_mapped.v,15
/home/yilmaz/zzz/mapped/s35932_sane_mapped.v,1728
/home/yilmaz/zzz/mapped/s382_sane_mapped.v,21
/home/yilmaz/zzz/mapped/s38417_sane_mapped.v,1636
/home/yilmaz/zzz/mapped/s38584_mapped.v,1426
/home/yilmaz/zzz/mapped/s386_sane_mapped.v,6
/home/yilmaz/zzz/mapped/s400_sane_mapped.v,21
/home/yilmaz/zzz/mapped/s420_mapped.v,16
/home/yilmaz/zzz/mapped/s444_sane_mapped.v,21
/home/yilmaz/zzz/mapped/s510_sane_mapped.v,6
/home/yilmaz/zzz/mapped/s526n_sane_mapped.v,21
/home/yilmaz/zzz/mapped/s526_sane_mapped.v,21
/home/yilmaz/zzz/mapped/s5378_sane_mapped.v,164
/home/yilmaz/zzz/mapped/s641_sane_mapped.v,19
/home/yilmaz/zzz/mapped/s713_sane_mapped.v,19
/home/yilmaz/zzz/mapped/s820_sane_mapped.v,5
/home/yilmaz/zzz/mapped/s832_sane_mapped.v,5
/home/yilmaz/zzz/mapped/s838_mapped.v,32
/home/yilmaz/zzz/mapped/s9234_mapped.v,211
/home/yilmaz/zzz/mapped/s953_sane_mapped.v,29
