Benchmark Circuit,Total number of transistors,,,,,,,,,
,SOP,,,,BDD,,,,CMOS,CMOS2
,Cost function 0,Cost function 1,Cost function 2,Cost function 3,Cost function 0,Cost function 1,Cost function 2,Cost function 3,,
9symml_orig.rpt,1102,858,802,808,1414,,1384,728,764,788
alu2_orig.rpt,4012,5492,2444,3122,3288,4964,2726,3012,1916,1936
alu4_orig.rpt,5588,8626,5160,5806,5538,8076,5114,5230,3040,3088
apex6_orig.rpt,5748,4376,4098,4526,5732,,4114,4494,2804,2826
apex7_orig.rpt,1712,2270,1560,1444,1694,2272,1566,1420,878,880
b1_orig.rpt,110,128,110,110,102,128,110,110,34,48
b9_orig.rpt,734,556,734,656,702,534,734,654,402,402
C1355_orig.rpt,3388,2520,11792,3624,2508,2188,2022,3260,1316,1780
C17_orig.rpt,56,56,56,56,56,56,56,56,24,24
C1908_orig.rpt,4922,6246,4922,4954,2844,4104,2878,3156,1364,1660
C2670_orig.rpt,4918,5252,4552,4458,4112,4832,4222,4182,2554,2924
C3540_orig.rpt,12326,,6520,8262,7056,8420,5848,4372,4524
C432_orig.rpt,1024,1650,1024,1024,996,1642,1008,1004,788,796
C499_orig.rpt,2608,6340,11736,3184,2200,4000,2024,2714,1324,1780
C5315_orig.rpt,9918,15458,9918,10086,8696,14946,8780,8902,5502,5992
C6288_orig.rpt,32632,,32818,56768,23956,,17552,25028,8166,10018
C7552_orig.rpt,12232,,11414,11794,9794,,10600,10010,6098,7164
C880_orig.rpt,2166,,2194,2108,1976,,2006,2000,1354,1462
C8_orig.rpt,1304,1486,938,950,1284,1486,938,950,680,682
cc_orig.rpt,560,558,552,552,532,558,552,552,224,234
cht_orig.rpt,1354,1664,1072,1096,1314,1664,1072,1096,644,644
cm138a_orig.rpt,200,224,200,200,200,224,200,200,78,78
cm150a_orig.rpt,120,130,128,168,92,100,104,152,164,164
cm151a_orig.rpt,76,86,76,126,64,72,64,126,164,164
cm152a_orig.rpt,78,110,106,94,70,110,98,86,86,86
cm162a_orig.rpt,274,282,238,252,272,268,236,250,170,174
cm163a_orig.rpt,292,212,250,252,290,182,248,252,156,156
cm42a_orig.rpt,200,224,200,200,196,224,200,200,88,88
cm82a_orig.rpt,124,150,132,120,118,148,128,114,70,86
cm85a_orig.rpt,236,216,196,224,236,208,188,216,156,176
cmb_orig.rpt,212,190,232,204,212,192,232,198,162,162
comp_orig.rpt,464,444,490,452,464,412,482,388,574,622
cordic_orig.rpt,270,344,244,262,256,328,230,248,222,242
count_orig.rpt,1092,904,932,1044,1082,902,920,1042,584,584
cu_orig.rpt,336,428,310,300,328,426,308,298,182,182
dalu_orig.rpt,8568,14314,8568,8568,8536,14258,8362,7908,4832,5000
decod_orig.rpt,276,652,276,276,276,652,276,276,144,144
des_orig.rpt,22130,,24698,24926,23486,,24786,24988,15716,16124
example2_orig.rpt,2142,2632,2116,2260,2014,2588,2052,2216,1112,1132
f51m_orig.rpt,990,878,812,952,1000,804,816,944,684,700
frg1_orig.rpt,1564,1798,1690,1572,2464,1790,1896,1556,1360,1360
frg2_orig.rpt,7912,11920,7654,7246,7680,11914,7558,7152,4006,4034
i10_orig.rpt,20732,,20614,25108,20588,,20272,18094,7870,8310
i1_orig.rpt,392,344,326,346,348,342,326,346,182,188
i2_orig.rpt,1146,472,642,616,1142,610,638,612,660,660
i3_orig.rpt,524,636,524,524,512,636,524,524,448,448
i4_orig.rpt,1060,604,556,988,1178,902,648,988,796,796
i5_orig.rpt,1904,2774,1954,1984,1816,2774,1954,1984,782,782
i6_orig.rpt,3426,3146,3018,3072,3394,3090,3018,3072,1910,1910
i7_orig.rpt,4656,3834,3972,3702,4656,3778,3972,3702,2668,2668
i8_orig.rpt,7584,14434,7698,7458,7470,,7592,7472,4520,4520
i9_orig.rpt,3704,5530,3394,4064,3666,5456,3358,4054,2290,2290
k2_orig.rpt,6988,,7060,7756,6974,,7140,7696,5266,5266
lal_orig.rpt,596,896,524,594,578,896,512,592,344,354
majority_orig.rpt,70,82,70,70,70,82,70,70,40,40
mux_orig.rpt,238,202,198,354,212,176,172,330,414,414
my_adder_orig.rpt,1162,1694,1166,1300,1106,1512,1126,1236,596,716
pair_orig.rpt,10398,14006,10398,10980,10262,14086,10412,10902,5706,5770
parity_orig.rpt,378,378,174,150,86,86,98,120,120,180
pcle_orig.rpt,424,416,360,360,418,410,358,358,236,240
pcler8_orig.rpt,634,688,634,632,606,688,630,630,332,336
pm1_orig.rpt,310,424,310,314,286,424,310,312,162,166
rot_orig.rpt,5172,,4836,5210,5050,,4880,5232,2816,2866
sct_orig.rpt,662,,566,574,646,,562,570,392,404
t481_orig.rpt,1998,2270,2720,7668,5778,,3396,7620,3828,3828
tcon_orig.rpt,408,408,408,408,384,408,408,408,162,178
term1_orig.rpt,2092,3498,1710,1642,2158,3490,1752,1588,1126,1150
too_large_orig.rpt,32718,300,22118,23136,33920,,22804,23200,14526,14526
ttt2_orig.rpt,1928,3638,1590,1666,1922,3636,1582,1660,1054,1062
unreg_orig.rpt,646,672,646,672,646,640,646,670,456,456
vda_orig.rpt,3206,5278,3368,3604,3178,,3368,3604,2690,2690
x1_orig.rpt,4716,1408,3998,3408,6406,,4016,3420,2694,2708
x2_orig.rpt,332,242,294,260,332,228,294,260,168,168
x3_orig.rpt,6046,7360,4886,4038,5966,7356,4874,4070,3022,3034
x4_orig.rpt,3154,5506,3052,3174,3032,5512,3048,3172,1440,1440
z4ml_orig.rpt,712,520,542,696,704,460,544,688,508,524
